Local Authority code,Local Authority name,Total recorded ASB,Environmental ASB,Nuisance ASB,Personal ASB
E07000181,West Oxfordshire,666,53,483,130
E06000040,Windsor and Maidenhead,835,69,599,167
E06000041,Wokingham,912,83,706,123
E06000060,Wycombe,"1,383",104,"1,067",212
,,"7,765",793,"5,181","1,791"
E07000218,North Warwickshire,920,89,619,212
E07000219,Nuneaton and Bedworth,"2,376",251,"1,628",497
E07000220,Rugby,"1,075",98,694,283
Combined Local Authorities,,"3,389",355,"2,236",798
,,5,0,4,1
,,"16,929",901,"14,115","1,913"
E06000019,"Herefordshire, County of","2,157",136,"1,753",268
Combined Local Authorities,,"3,802",216,"3,155",431
E06000051,Shropshire,"3,430",176,"2,885",369
Combined Local Authorities,,"4,566",224,"3,811",531
E06000020,Telford and Wrekin,"2,973",148,"2,511",314
,,1,1,0,0
,,"26,511","3,187","19,548","3,776"
E08000025,Birmingham,"11,325","1,418","8,325","1,582"
E08000026,Coventry,"3,465",627,"2,323",515
E08000027,Dudley,"2,261",233,"1,719",309
E08000028,Sandwell,"2,769",250,"2,142",377
E08000029,Solihull,"1,378",152,980,246
,,0,0,0,0
E08000030,Walsall,"3,028",307,"2,330",391
E08000031,Wolverhampton,"2,285",200,"1,729",356
,,"27,337",559,"26,429",349
E08000032,Bradford,"6,692",125,"6,479",88
E08000033,Calderdale,"2,065",46,"1,989",30
E08000034,Kirklees,"4,680",166,"4,459",55
E08000035,Leeds,"9,079",143,"8,829",107
,,103,3,97,3
E08000036,Wakefield,"4,718",76,"4,576",66
,,"8,785",467,"6,168","2,150"
E06000030,Swindon,"3,358",149,"2,396",813
,,0,0,0,0
E06000054,Wiltshire,"5,427",318,"3,772","1,337"
,,"28,548",537,"26,470","1,541"
,,"28,548",537,"26,470","1,541"
