geography code,Name,Geography,Mid-2022,Mid-2011
E09000021,Kingston upon Thames,London Borough,"168,302","160,436"
E09000024,Merton,London Borough,"214,709","200,543"
E09000026,Redbridge,London Borough,"310,911","281,395"
E09000027,Richmond upon Thames,London Borough,"194,894","187,527"
E09000029,Sutton,London Borough,"210,053","191,123"
E09000031,Waltham Forest,London Borough,"275,887","259,742"
E12000008,SOUTH EAST,Region,"9,379,833","8,652,784"
E06000036,Bracknell Forest,Unitary Authority,"126,881","113,696"
E06000043,Brighton and Hove,Unitary Authority,"277,965","272,952"
E06000046,Isle of Wight,Unitary Authority,"140,794","138,392"
E06000035,Medway,Unitary Authority,"282,702","264,885"
E06000042,Milton Keynes,Unitary Authority,"292,180","249,895"
E06000044,Portsmouth,Unitary Authority,"208,420","205,433"
E06000038,Reading,Unitary Authority,"174,820","155,339"
E06000039,Slough,Unitary Authority,"159,182","140,713"
E06000045,Southampton,Unitary Authority,"252,689","235,870"
E06000037,West Berkshire,Unitary Authority,"162,215","154,148"
E06000040,Windsor and Maidenhead,Unitary Authority,"154,738","145,098"
E06000041,Wokingham,Unitary Authority,"180,967","154,943"
E06000060,Buckinghamshire,Unitary Authority,"560,409","506,550"
E10000011,East Sussex,County,"550,720","527,209"
E07000061,Eastbourne,Non-metropolitan District,"102,247","99,308"
E07000062,Hastings,Non-metropolitan District,"90,622","90,173"
E07000063,Lewes,Non-metropolitan District,"100,677","97,584"
E07000064,Rother,Non-metropolitan District,"94,162","90,729"
E07000065,Wealden,Non-metropolitan District,"163,012","149,415"
E10000014,Hampshire,County,"1,416,808","1,322,118"
E07000084,Basingstoke and Deane,Non-metropolitan District,"187,817","168,550"
E07000085,East Hampshire,Non-metropolitan District,"127,319","116,010"
E07000086,Eastleigh,Non-metropolitan District,"138,935","125,852"
E07000087,Fareham,Non-metropolitan District,"114,547","111,931"
E07000088,Gosport,Non-metropolitan District,"82,285","82,669"
E07000089,Hart,Non-metropolitan District,"100,910","91,662"
