date,geography,geography code,Multiple ethnic groups in household: Total: All households,Multiple ethnic groups in household: One-person household,Multiple ethnic groups in household: All household members have the same ethnic group,Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships,Multiple ethnic groups in household: Ethnic groups differ within partnerships,Multiple ethnic groups in household: Any other combination of multiple ethnic identities,ethnic groups
2021,Ryedale,E07000167,24714,7550,16177,104,712,171,0.039936878
2021,Scarborough,E07000168,51123,18216,30942,311,1253,401,0.038436711
2021,Selby,E07000169,39561,10556,27195,213,1319,278,0.04575213
2021,Ashfield,E07000170,54508,16048,35930,473,1509,548,0.046415205
2021,Bassetlaw,E07000171,51458,15492,33830,388,1400,348,0.041509581
2021,Broxtowe,E07000172,48361,14581,29873,521,2457,929,0.080788238
2021,Gedling,E07000173,51551,15514,31642,831,2854,710,0.085255378
2021,Mansfield,E07000174,48030,14471,31115,492,1325,627,0.050884864
2021,Newark and Sherwood,E07000175,53331,15746,34733,473,1826,553,0.05347734
2021,Rushcliffe,E07000176,49883,13822,31717,521,3083,740,0.087083776
2021,Cherwell,E07000177,65894,17339,40678,1096,5092,1689,0.119540474
2021,Oxford,E07000178,55238,16096,26105,1654,6173,5210,0.236015062
2021,South Oxfordshire,E07000179,61497,16105,38620,785,4903,1084,0.110119193
2021,Vale of White Horse,E07000180,57498,15437,35584,754,4587,1136,0.112647396
2021,West Oxfordshire,E07000181,47981,13206,30374,519,3151,731,0.091723807
2021,Mendip,E07000187,50294,15152,31606,481,2433,622,0.070306597
2021,Sedgemoor,E07000188,53904,15620,35395,459,1739,691,0.05359528
2021,South Somerset,E07000189,75936,22859,49022,598,2669,788,0.053400232
2021,Cannock Chase,E07000192,43461,12573,29144,300,1122,322,0.040127931
2021,East Staffordshire,E07000193,51293,14760,33004,764,1960,805,0.068800811
2021,Lichfield,E07000194,45633,12662,30416,363,1797,395,0.055990183
2021,Newcastle-under-Lyme,E07000195,53423,16588,34046,432,1573,784,0.052205979
2021,South Staffordshire,E07000196,46122,12558,31391,371,1433,369,0.047114175
2021,Stafford,E07000197,60047,17754,38883,575,2277,558,0.056788849
2021,Staffordshire Moorlands,E07000198,42355,12536,28471,189,947,212,0.031826231
2021,Tamworth,E07000199,32895,8787,22194,340,1207,367,0.058185135
2021,Babergh,E07000200,40200,11382,26482,285,1662,389,0.058109453
2021,Ipswich,E07000202,59507,19270,33479,1445,3734,1579,0.113566471
2021,Mid Suffolk,E07000203,44343,11983,29910,283,1789,378,0.055251111
2021,Elmbridge,E07000207,55591,14972,30593,1264,7400,1362,0.180352935
2021,Epsom and Ewell,E07000208,31323,7625,18207,769,3647,1075,0.175302493
2021,Guildford,E07000209,55760,14840,32756,878,5107,2179,0.146413199
2021,Mole Valley,E07000210,37139,11053,21777,495,3171,643,0.116023587
2021,Reigate and Banstead,E07000211,59850,15797,35612,1181,5837,1423,0.141035923
2021,Runnymede,E07000212,34838,9939,19432,621,3345,1501,0.156926345
2021,Spelthorne,E07000213,41805,11665,24226,925,3744,1245,0.141466332
2021,Surrey Heath,E07000214,36008,9067,22447,558,3118,818,0.124805599
2021,Tandridge,E07000215,35623,9702,21351,629,3227,714,0.128287904
2021,Waverley,E07000216,52448,14642,31810,629,4398,969,0.114322758
2021,Woking,E07000217,41437,11124,23885,831,4389,1208,0.15512706
2021,North Warwickshire,E07000218,27580,7642,18431,264,977,266,0.054641044
2021,Nuneaton and Bedworth,E07000219,56586,16345,36584,785,2116,756,0.064627293
2021,Rugby,E07000220,47013,12774,29301,906,2911,1121,0.105034778
2021,Stratford-on-Avon,E07000221,59464,17306,37603,608,3221,726,0.076600969
2021,Warwick,E07000222,62619,18999,36024,862,4734,2000,0.121305035
2021,Adur,E07000223,27676,8414,16880,297,1627,458,0.086067351
2021,Arun,E07000224,72661,22768,44714,788,3300,1091,0.0712762
2021,Chichester,E07000225,54119,16841,32961,523,2890,904,0.079768658
2021,Crawley,E07000226,45501,11517,27126,1339,3459,2060,0.150721962
2021,Horsham,E07000227,62370,17535,39090,632,4230,883,0.092111592
2021,Mid Sussex,E07000228,63349,17421,39005,757,5118,1048,0.109283493
2021,Worthing,E07000229,49538,16764,27971,676,3180,947,0.096955872
2021,Bromsgrove,E07000234,41265,11293,27141,406,2035,390,0.068605356
2021,Malvern Hills,E07000235,34890,10303,22594,231,1443,319,0.057122385
2021,Redditch,E07000236,36378,10102,23429,613,1639,595,0.078261587
2021,Worcester,E07000237,44723,14157,26898,609,2118,941,0.082015965
2021,Wychavon,E07000238,57356,15847,38113,565,2227,604,0.05920915
2021,Wyre Forest,E07000239,45320,14377,28662,399,1497,385,0.05033098
2021,St Albans,E07000240,58990,15527,33660,1333,7188,1282,0.166180709
2021,Welwyn Hatfield,E07000241,46209,12928,26073,1139,4150,1919,0.155986929
2021,East Hertfordshire,E07000242,62021,16952,38158,925,4940,1046,0.11143
2021,Stevenage,E07000243,36510,10568,21584,856,2517,985,0.119364558
2021,East Suffolk,E07000244,110749,35819,69121,785,4052,972,0.052451941
2021,West Suffolk,E07000245,78746,25490,46136,943,4981,1196,0.090417291
2021,Somerset West and Taunton,E07000246,69986,22397,43525,574,2699,791,0.058068757
2021,Bolton,E08000001,118790,36521,74311,1674,4402,1882,0.066992171
2021,Bury,E08000002,80695,24880,49105,1251,4228,1231,0.083152612
2021,Manchester,E08000003,214732,71577,108822,6890,14823,12620,0.159887674
2021,Oldham,E08000004,93142,27396,59190,1613,3330,1613,0.070387151
2021,Rochdale,E08000005,90223,27641,56056,1531,3528,1467,0.072331889
2021,Salford,E08000006,115116,39141,63963,1973,6212,3827,0.10434692
2021,Stockport,E08000007,126647,39439,76809,1651,7116,1632,0.082110117
2021,Tameside,E08000008,99527,32374,61112,1205,3594,1242,0.060697097
2021,Trafford,E08000009,96269,28369,56793,1867,7372,1868,0.115374627
2021,Wigan,E08000010,143105,43950,92971,1125,3889,1170,0.043213025
2021,Knowsley,E08000011,66073,20645,42566,581,1743,538,0.043315727
2021,Liverpool,E08000012,207492,76340,112340,3478,9313,6021,0.090663736
2021,St. Helens,E08000013,81013,25561,52385,537,2015,515,0.037858122
2021,Sefton,E08000014,123073,41520,75170,990,4117,1276,0.051863528
2021,Wirral,E08000015,143252,49688,86365,1174,4887,1138,0.050254098
2021,Barnsley,E08000016,108053,33289,70926,717,2294,827,0.035519606
2021,Doncaster,E08000017,133480,41667,85038,1483,3785,1507,0.050756668
2021,Rotherham,E08000018,113925,34225,74892,1041,2736,1031,0.042203204
2021,Sheffield,E08000019,231950,75759,134771,4046,11309,6065,0.092347489
2021,Newcastle upon Tyne,E08000021,122797,42031,70138,1465,5378,3785,0.086549346
2021,North Tyneside,E08000022,96232,33553,58434,728,2927,590,0.044112146
2021,South Tyneside,E08000023,68285,24550,41431,498,1460,346,0.033740939
2021,Sunderland,E08000024,122176,40368,78277,646,2107,778,0.02890093
2021,Birmingham,E08000025,423456,133224,233008,13162,26519,17543,0.135135646
2021,Coventry,E08000026,134140,40777,76574,3398,7645,5746,0.12516028
2021,Dudley,E08000027,137069,41709,86762,2098,4775,1725,0.062727531
2021,Sandwell,E08000028,130246,38042,78363,3807,6293,3741,0.106268139
2021,Solihull,E08000029,89483,25852,55357,1553,5309,1412,0.09246449
2021,Walsall,E08000030,112226,32129,71376,2308,4304,2109,0.077709265
2021,Wolverhampton,E08000031,105141,32468,60784,3450,5413,3026,0.113076726
2021,Bradford,E08000032,209867,64596,128983,3790,8647,3851,0.077611058
2021,Calderdale,E08000033,90476,30308,54864,1034,3373,897,0.058623281
2021,Kirklees,E08000034,177989,55176,109308,3012,7752,2741,0.075875475
2021,Leeds,E08000035,341465,111380,196648,6205,17531,9701,0.097922188
2021,Wakefield,E08000036,153075,46419,99269,1563,4302,1522,0.04825739
2021,Gateshead,E08000037,88999,30807,54409,654,2383,746,0.042506096
2021,City of London,E09000001,4914,2506,1463,75,650,220,0.192307692
2021,Barking and Dagenham,E09000002,73903,17503,43285,3994,4616,4505,0.177462349
2021,Barnet,E09000003,148917,41658,72742,6880,18282,9355,0.231786834
2021,Bexley,E09000004,95300,24753,57577,2746,6958,3266,0.136096537
