date,geography,geography code,Occupancy rating for bedrooms: Total: All households,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more,Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less,Occupancy_rating_for_bedrooms
2021,Coventry,E08000026,134143,43201,45083,38080,6449,1330,0.658133484
2021,Dudley,E08000027,137069,49784,48172,34623,3818,672,0.714647367
2021,Sandwell,E08000028,130246,35152,44071,41390,7554,2079,0.608256684
2021,Solihull,E08000029,89483,40179,27678,19277,2082,267,0.75832281
2021,Walsall,E08000030,112226,37027,38439,30935,4812,1013,0.67244667
2021,Wolverhampton,E08000031,105140,31885,34551,32648,5120,936,0.631881301
2021,Bradford,E08000032,209866,66977,72116,59321,9029,2423,0.66277053
2021,Calderdale,E08000033,90476,29978,33945,23970,2239,344,0.706518856
2021,Kirklees,E08000034,177989,60828,61646,47775,6479,1261,0.688098703
2021,Leeds,E08000035,341466,115796,117897,94996,11098,1679,0.684381461
2021,Wakefield,E08000036,153075,56482,59245,33630,3261,457,0.756015025
2021,Gateshead,E08000037,88999,27787,37479,21725,1799,209,0.733334082
2021,City of London,E09000001,4914,390,1158,3133,207,26,0.315018315
2021,Barking and Dagenham,E09000002,73902,10720,19248,30793,10629,2512,0.40551
2021,Barnet,E09000003,148917,42709,40449,51793,11644,2322,0.558418448
2021,Bexley,E09000004,95300,30448,31647,27373,4934,898,0.651573977
2021,Brent,E09000005,118612,22710,27337,48512,14926,5127,0.421938758
2021,Bromley,E09000006,135828,49715,42488,37505,5425,695,0.678821745
2021,Camden,E09000007,92756,13329,24607,45985,7145,1690,0.40898702
2021,Croydon,E09000008,152946,40376,41807,54895,13402,2466,0.537333438
2021,Ealing,E09000009,133659,29916,33372,52743,13826,3802,0.473503468
2021,Enfield,E09000010,120925,30644,31780,42871,12565,3065,0.516220798
2021,Greenwich,E09000011,114053,22560,32976,46298,9947,2272,0.486931514
2021,Hackney,E09000012,106081,12588,25814,54209,11070,2400,0.362006391
2021,Hammersmith and Fulham,E09000013,81244,14293,20429,39129,6206,1187,0.427379253
2021,Haringey,E09000014,105092,19716,25609,45622,11210,2935,0.431288776
2021,Harrow,E09000015,89643,26513,24177,28019,8438,2496,0.565465234
2021,Havering,E09000016,101277,34335,32449,28368,5266,859,0.659419217
2021,Hillingdon,E09000017,109228,27287,31476,38076,9984,2405,0.537984766
2021,Hounslow,E09000018,102961,21000,26288,40684,11544,3445,0.459280699
2021,Islington,E09000019,96496,11346,24582,51520,7695,1353,0.372326314
2021,Kensington and Chelsea,E09000020,66884,10894,19296,31270,4112,1312,0.451378506
2021,Kingston upon Thames,E09000021,65626,21342,19673,20673,3420,518,0.624980953
