date,geography,geography code,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health,health
2021,Wirral,E08000015,320199,148845,102703,45385,17840,5426,0.927338936
2021,Barnsley,E08000016,244572,106010,82192,38001,14252,4117,0.924893283
2021,Doncaster,E08000017,308104,136540,105090,45337,16192,4945,0.931396541
2021,Rotherham,E08000018,265807,117359,90450,39277,14400,4321,0.929569199
2021,Sheffield,E08000019,556522,259654,187759,75541,25998,7570,0.939682528
2021,Newcastle upon Tyne,E08000021,300126,145219,96614,39307,14525,4461,0.936739903
2021,North Tyneside,E08000022,208965,96170,69597,30204,10188,2806,0.937817338
2021,South Tyneside,E08000023,147778,64656,48869,22930,8709,2614,0.923378311
2021,Sunderland,E08000024,274171,118258,90486,43507,16834,5086,0.920049896
2021,Birmingham,E08000025,1144919,544500,380993,150801,51755,16870,0.940061262
2021,Coventry,E08000026,345325,167651,116149,43030,14126,4369,0.946441758
2021,Dudley,E08000027,323488,141846,114604,47402,15299,4337,0.939299139
2021,Sandwell,E08000028,341833,153337,116762,49048,17472,5214,0.93363426
2021,Solihull,E08000029,216240,106508,72191,26816,8293,2432,0.950402331
2021,Walsall,E08000030,284124,126170,97681,41567,14222,4484,0.934162549
2021,Wolverhampton,E08000031,263727,118244,90690,38056,12953,3784,0.936536646
2021,Bradford,E08000032,546408,252136,188664,73124,24904,7580,0.940549919
2021,Calderdale,E08000033,206631,96309,70657,27913,9057,2695,0.943125668
2021,Kirklees,E08000034,433217,201705,149441,58024,18669,5378,0.944492021
2021,Leeds,E08000035,811953,402056,270304,98856,31621,9116,0.949828377
2021,Wakefield,E08000036,353370,157984,121164,51084,17900,5238,0.934521889
2021,Gateshead,E08000037,196151,85811,65777,30117,11120,3326,0.926352657
2021,City of London,E09000001,8583,4937,2726,687,186,47,0.972853315
2021,Barking and Dagenham,E09000002,218869,111929,71978,24295,8169,2498,0.951263084
2021,Barnet,E09000003,389344,213576,120802,39317,11724,3925,0.959806752
2021,Bexley,E09000004,246473,125181,82371,28260,8128,2533,0.956745769
2021,Brent,E09000005,339814,176793,111300,36871,11158,3692,0.956299623
2021,Bromley,E09000006,329991,176211,106977,34265,9694,2844,0.962005024
2021,Camden,E09000007,210136,116692,61665,21109,8013,2657,0.94922336
2021,Croydon,E09000008,390719,200050,130711,43327,12733,3898,0.957434883
2021,Ealing,E09000009,367115,192559,120388,38868,11619,3681,0.958323686
2021,Enfield,E09000010,329984,167119,108918,37822,12150,3975,0.951133994
2021,Greenwich,E09000011,289068,152415,92418,30949,10134,3152,0.954038496
2021,Hackney,E09000012,259146,146836,73626,25710,9467,3507,0.949935558
2021,Hammersmith and Fulham,E09000013,183157,108069,51238,16301,5603,1946,0.958783994
2021,Haringey,E09000014,264238,140184,83809,27408,9562,3275,0.951418797
2021,Harrow,E09000015,261203,134553,88594,27907,7715,2434,0.961145163
2021,Havering,E09000016,262052,130764,89013,30642,8941,2692,0.955608047
2021,Hillingdon,E09000017,305909,156976,103725,33088,9244,2876,0.960380375
2021,Hounslow,E09000018,288181,149624,96314,30323,9017,2903,0.958637107
2021,Islington,E09000019,216589,118690,63421,22469,8901,3108,0.944553971
2021,Kensington and Chelsea,E09000020,143375,85462,38302,13191,4806,1614,0.955222319
2021,Kingston upon Thames,E09000021,168063,90958,54724,16710,4367,1304,0.966256701
2021,Lambeth,E09000022,317654,178535,96211,30240,9582,3086,0.960120131
2021,Lewisham,E09000023,300550,159645,96291,31609,9891,3114,0.95672933
2021,Merton,E09000024,215182,118140,68979,20760,5599,1704,0.966061288
2021,Newham,E09000025,351036,180480,116872,37801,11823,4060,0.954753928
2021,Redbridge,E09000026,310258,159202,105549,33011,9467,3029,0.959723843
2021,Richmond upon Thames,E09000027,195278,115959,57054,16331,4574,1360,0.969612552
2021,Southwark,E09000028,307637,171620,93329,30002,9552,3134,0.958763088
2021,Sutton,E09000029,209639,107792,71329,22304,6322,1892,0.960818359
2021,Tower Hamlets,E09000030,310306,164359,99697,31182,11172,3896,0.95144148
2021,Waltham Forest,E09000031,278426,143437,93169,29590,9277,2953,0.956074505
2021,Wandsworth,E09000032,327506,198576,91919,26746,7868,2397,0.968657063
2021,Westminster,E09000033,204236,115033,58977,19840,7404,2982,0.949147065
2021,Isle of Anglesey,W06000001,68878,32788,21937,10216,3059,878,0.942840965
2021,Gwynedd,W06000002,117391,58620,37038,15668,4741,1324,0.948335051
2021,Conwy,W06000003,114742,51092,38345,17780,5819,1706,0.934418086
2021,Denbighshire,W06000004,95817,43115,31254,14621,5179,1648,0.928749596
2021,Flintshire,W06000005,154962,73431,51838,20920,6716,2057,0.94338612
2021,Wrexham,W06000006,135117,61404,45998,19316,6588,1811,0.937839058
2021,Ceredigion,W06000008,71475,32195,24054,10881,3328,1017,0.939209514
2021,Pembrokeshire,W06000009,123360,55187,41206,18605,6375,1987,0.932214656
2021,Carmarthenshire,W06000010,187897,84785,59550,29491,10554,3517,0.925113227
2021,Swansea,W06000011,238490,113823,73789,33363,13061,4454,0.926558766
2021,Neath Port Talbot,W06000012,142289,64583,43219,21961,9388,3138,0.911967896
2021,Bridgend,W06000013,145488,66751,46142,21589,8254,2752,0.924351149
2021,Vale of Glamorgan,W06000014,131939,63999,42548,17533,5906,1953,0.940434595
2021,Cardiff,W06000015,362308,181604,115195,44144,16193,5172,0.941030836
2021,Rhondda Cynon Taff,W06000016,237651,105823,75427,36863,14925,4613,0.917787007
2021,Caerphilly,W06000018,175952,76930,56471,27645,11275,3631,0.915283714
2021,Blaenau Gwent,W06000019,66904,27465,21865,11210,4785,1579,0.904878632
2021,Torfaen,W06000020,92276,39335,31301,14340,5584,1716,0.920889505
2021,Monmouthshire,W06000021,92955,43165,31887,12655,4060,1188,0.943542574
2021,Newport,W06000022,159592,74351,52689,21937,8159,2456,0.933486641
2021,Powys,W06000023,133169,59313,45946,20078,6040,1792,0.941187514
2021,Merthyr Tydfil,W06000024,58839,26718,17786,8837,4112,1386,0.906558575
